SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GBPS SOBDAR KHOSA,NASEER ABAD,Primary,Middle,Boys,Standard,68.14757787,28.49302332,10,Found 10 Middle schools within 6.0km,GBMIDS GOTH MUHAMMAD SALEH SASOLI,2.15,NASEER ABAD
GBPS HAJI MANDO,NASEER ABAD,Primary,Middle,Boys,Standard,67.9979475,28.43686688,8,Found 8 Middle schools within 6.0km,GGMIDS MIR MUHAMMAD MENGAL,0.13,NASEER ABAD
GBMIDS ALHINDA KHAN USMANI,NASEER ABAD,Middle,High,Boys,Standard,68.39196538,28.53421864,8,Found 8 High schools within 6.0km,GGHS JIA KHAN KHOSA,1.35,SOHBAT PUR
GBPS MIR SHEHZADA KHAN UMRANI,NASEER ABAD,Primary,Middle,Boys,Standard,68.33538418,28.51670964,6,Found 6 Middle schools within 6.0km,GBMIDS ABDUL RAZAQUE UMARANI.,2.74,NASEER ABAD
GBPS SHARBAT KHAN JATTAK,NASEER ABAD,Primary,Middle,Boys,Standard,67.98419212,28.25816438,9,Found 9 Middle schools within 6.0km,GBMIDS FAIZ ABAD JAMALI,2.38,JAFER ABAD
GBPS JUMA KHAN UMRANI,NASEER ABAD,Primary,Middle,Boys,Standard,67.98954638,28.29785129,8,Found 8 Middle schools within 6.0km,GBMIDS QABOLA KARAM KHAN,2.67,NASEER ABAD
GBMIDS REHMATULLAH LEHRI,NASEER ABAD,Middle,High,Boys,Standard,68.23051107,28.46640193,8,Found 8 High schools within 6.0km,GBHS ABDUL MAJEED LEHRI,2.62,NASEER ABAD
GBPS MUHAMMAD KHAN CHOTI,BARKHAN,Primary,Middle,Boys,Standard,69.60738031,29.97306421,5,Found 5 Middle schools within 6.0km,GGMIDS FARID ABAD HAKEEMANI,1.15,BARKHAN
GBPS MIR MUHAMMAD KARAMDANI,BARKHAN,Primary,Middle,Boys,Standard,69.73024167,30.08249833,5,Found 5 Middle schools within 6.0km,GGMIDS BASTI HABBATAIN NODO ZIKRANI,2.89,BARKHAN
GBPS MASOO,KACHHI,Primary,Middle,Boys,Standard,67.77897761,29.18105982,7,Found 7 Middle schools within 6.0km,GBMIDS BASHKIA,1.5,KACHHI
GBHS  ZARDALO,HARNAI,High,Higher Secondary,Boys,Standard,67.52310607,30.29627702,0,Found 0 Higher Secondary schools within 6.0km,,,
GBMIDS TANG WANI,DERA BUGTI,Middle,High,Boys,Standard,69.51746988,29.52998696,3,Found 3 High schools within 6.0km,GBHS SHUM AMIRIAN KHALIRA,4.2,DERA BUGTI
GBMIDS KILLI ALAM KHAN,DERA BUGTI,Middle,High,Boys,Standard,69.59931464,29.45481423,10,Found 10 High schools within 6.0km,GBHS KILLI HAJI MIAN KHAN PELAWAGH,0.87,DERA BUGTI
GBMIDS SHAMS UL HUDA JIWA,SURAB,Middle,High,Boys,Standard,66.2846901,28.11122703,0,Found 0 High schools within 6.0km,,,
GGMIDS RAILWAY STATION AKHTAR ABAD,HARNAI,Middle,High,Girls,Standard,67.9379373,30.10169991,9,Found 9 High schools within 6.0km,GGHS GHARIB ABAD(HARNAI),0.01,HARNAI
GGMIDS SAEED MUHAMMAD KANRANI,SOHBAT PUR,Middle,High,Girls,Standard,68.71146371,28.49140441,7,Found 7 High schools within 6.0km,GBHS GHULAM MUHAMMAD KANRANI,3.86,SOHBAT PUR
GGMIDS SHIPANKO BAZAR,GWADAR,Middle,High,Girls,Standard,63.47152864,25.2701959,8,Found 8 High schools within 6.0km,GBHS BABAR SHOR,0.02,GWADAR
GBMIDS MARRI ABAD,SIBI,Middle,High,Boys,Standard,67.886555,29.57687667,18,Found 18 High schools within 6.0km,GGHS SATH MARLA GOLA KHOSA,0.78,SIBI
GGPS MEHAR ALI,SOHBAT PUR,Primary,Middle,Girls,Standard,68.50777557,28.51375528,8,Found 8 Middle schools within 6.0km,GGMIDS AZAM MANJHANI KHOSA,0.41,SOHBAT PUR
GGMIDS BALOCH BAGH,LASBELA,Middle,High,Girls,Standard,66.70349,25.42344167,3,Found 3 High schools within 6.0km,GBHS GOTH HAJI CHAKAR WINDER,0.08,LASBELA
GBHS JAM YOUSAF COLONY,LASBELA,High,Higher Secondary,Boys,Standard,66.87978179,25.04366698,1,Found 1 Higher Secondary schools within 6.0km,GGHSS HUB,0.88,LASBELA
GBMIDS DAZEN TUMP,KECH,Middle,High,Girls,Standard,63.01984167,25.998465,14,Found 14 High schools within 6.0km,GBHS SHAHI TUMP,0.11,KECH
GGPS ABDUL RASOOL BUGHTI,NASEER ABAD,Primary,Middle,Girls,Standard,68.21178167,28.54405667,16,Found 16 Middle schools within 6.0km,GGMIDS NOTAL,0.21,NASEER ABAD
GGMIDS NOOR MUHAMMAD MENGAL,NASEER ABAD,Middle,High,Girls,Standard,68.13668333,28.42270167,9,Found 9 High schools within 6.0km,GBHS MIR GUL JATAK,1.4,NASEER ABAD
GGMIDS NAWA KILLI,KILLA SAIFULLAH,Middle,High,Girls,Standard,67.72966105,30.82376929,10,Found 10 High schools within 6.0km,GGHS REHRI KILLI,0.68,KILLA SAIFULLAH
GBMIDS MURAD ABAD KHUZDAR,KHUZDAR,Middle,High,Boys,Standard,66.61879948,27.82965018,9,Found 9 High schools within 6.0km,GGHS KHATAN,0.83,KHUZDAR
GGMIDS BASTI LOHARAN,SIBI,Middle,High,Girls,Standard,68.2162497,29.19071666,5,Found 5 High schools within 6.0km,GBHS BASTI LOHARAN,0.01,SIBI
GGMIDS SIDDIQUE ABAD,QUETTA,Middle,High,Girls,Standard,66.96723337,30.21701676,78,Found 78 High schools within 6.0km,GBHS KHAROT ABAD NO.1,0.56,QUETTA
GGPS LIAQAT ABAD,AWARAN,Primary,Middle,Co-Education,Standard,65.59598667,27.10749,3,Found 3 Middle schools within 6.0km,GGMIDS KHANDARI,0.87,AWARAN
GBPS MURADHAN ALYANI,KOHLU,Primary,Middle,Boys,Standard,69.26709167,29.904795,8,Found 8 Middle schools within 6.0km,GGMIDS MURADHAN ALYANI,0.04,KOHLU
GGMIDS KHALIQ ABAD,SURAB,Middle,High,Girls,Standard,66.2604994,28.48544158,6,Found 6 High schools within 6.0km,GBHS SURAB,0.32,SURAB
GGMIDS DHAL BAIDEE,AWARAN,Middle,High,Girls,Standard,65.28906907,26.51162863,4,Found 4 High schools within 6.0km,GBHS PIR ANDER,1.19,AWARAN
GGHS GISHKOOR,AWARAN,High,Higher Secondary,Girls,Standard,64.73621188,26.25099417,1,Found 1 Higher Secondary schools within 6.0km,GBHSS GISHKOR,0.32,AWARAN
GGPS  LIBNAN MAND,KECH,Primary,Middle,Girls,Standard,62.01770676,26.1174488,5,Found 5 Middle schools within 6.0km,GGMIDS BALOCH ABAD MAND,1.68,KECH
GGMIDS MITHA KHAN MANJHO,NASEER ABAD,Middle,High,Girls,Standard,68.03345167,28.45829667,5,Found 5 High schools within 6.0km,GBHS SHORI DATA,1.49,NASEER ABAD
GGMIDS JAFFAR ABAD,KHUZDAR,Middle,High,Girls,Standard,66.613735,27.82760333,9,Found 9 High schools within 6.0km,GGHS SALEH ABAD,0.49,KHUZDAR
GGPS BASTI DEH BABANI,BARKHAN,Primary,Middle,Girls,Standard,69.91816465,30.10855341,5,Found 5 Middle schools within 6.0km,GGMIDS BASTI HAJI ALLAH BAKHSH RAKHNI,2.03,BARKHAN
GBMIDS M. DIN SAHIB DAD,KOHLU,Middle,High,Boys,Standard,69.207205,29.90986833,7,Found 7 High schools within 6.0km,GBHS MUHAMMAD KAMAL QALANDRANI,3.55,KOHLU
GBPS MIR HAJI REHIMKANI,KOHLU,Primary,Middle,Boys,Standard,69.15544667,29.83841833,4,Found 4 Middle schools within 6.0km,GBMIDS KILLI YAAQOOB KHAN MAHBATANI BHORI,0.81,KOHLU
GGMIDS  KOHEE KHAN NOTEZAI,CHAGHI,Middle,High,Girls,Standard,64.40922891,28.89447143,13,Found 13 High schools within 6.0km,GBHS KILLI DAUD ABAD,0.2,CHAGHI
GGPS  SHAH MUHAMMAD,NOSHKI,Primary,Middle,Girls,Standard,66.10663673,29.57133487,5,Found 5 Middle schools within 6.0km,GBMIDS HAJI KHUDA-E-DAD,2.39,NOSHKI
GGMIDS SHER MUHAMMAD NICHARI,NASEER ABAD,Middle,High,Girls,Standard,68.21009,28.54819167,9,Found 9 High schools within 6.0km,GBHS SPECIAL DERA MURAD JAMALI,0.8,NASEER ABAD
GBPS MADRASSA MUFTA-UL-ALOOM,ZHOB,Primary,Middle,Boys,Standard,69.47687,31.346805,14,Found 14 Middle schools within 6.0km,GBMIDS DAWAL GADH,1.44,SHERANI
GGMIDS SHABOZAI,ZHOB,Middle,High,Girls,Standard,69.43482698,31.28050683,12,Found 12 High schools within 6.0km,GGHS APPOZAI ZHOB,2.17,ZHOB
GGMIDS MUHAMMAD KHAIL PANJPAI,QUETTA,Middle,High,Girls,Standard,66.57419271,30.0067679,1,Found 1 High schools within 6.0km,GBHS MUHAMMAD KHAIL,0.09,QUETTA
GGMIDS MUHALLAH ARAIN,JHAL MAGSI,Middle,High,Girls,Standard,67.48569167,28.61576333,5,Found 5 High schools within 6.0km,GGHS GANDAWAH,0.19,JHAL MAGSI
GGPS NIMKI ALLA-ABAD,DUKI,Primary,Middle,Girls,Standard,68.89823009,30.06005476,2,Found 2 Middle schools within 6.0km,GBMIDS NUMKI ALLAHABAD,0.16,DUKI
GGPS NEW BAWAR,LORALAI,Primary,Middle,Girls,Standard,68.55035573,30.40001018,11,Found 11 Middle schools within 6.0km,GBMIDS KILLI MUSA KHAN NASAR BAWAR,1.47,LORALAI
GGMIDS QADAR ABAD TOWN,KHARAN,Middle,High,Girls,Standard,65.40871167,28.57804333,8,Found 8 High schools within 6.0km,GGHS YASEEN ABAD,0.62,KHARAN
GGMIDS GHULAM MUHAMMAD SARPARA,NASEER ABAD,Middle,High,Girls,Standard,68.12764333,28.488235,7,Found 7 High schools within 6.0km,GBHS SONA KHAN GOHT GHULAM M.SARBARH,0.4,NASEER ABAD
GGMIDS ISHAQUE GOTH WINDER,LASBELA,Middle,High,Girls,Standard,66.67517833,25.41206833,2,Found 2 High schools within 6.0km,GGHS RANA BITT,1.47,LASBELA
GGMIDS JAM YOUSAF COLONY,LASBELA,Middle,High,Girls,Standard,66.88005824,25.04440052,5,Found 5 High schools within 6.0km,GBHS JAM YOUSAF COLONY,0.04,LASBELA
GBPS ANWAR ABAD SUNNI,KHUZDAR,Primary,Middle,Boys,Standard,66.61281167,27.85542,12,Found 12 Middle schools within 6.0km,GGMIDS JAFFAR ABAD,1.24,KHUZDAR
GGPS HAFIZ ROSHAN DIN,SOHBAT PUR,Primary,Middle,Girls,Standard,68.51545293,28.63582347,5,Found 5 Middle schools within 6.0km,GBMIDS ROSHAN UD DIN KHAN KHOSA,0.16,SOHBAT PUR
GBMIDS KILLI MUSA KHAN NASAR BAWAR,LORALAI,Middle,High,Boys,Standard,68.5573,30.36927667,16,Found 16 High schools within 6.0km,GGHS NAWAN KILLI PATHAN KOT,1.49,LORALAI
GBPS KILLI MALIK NAZREY SHAMOZAI,MUSAKHEL,Primary,Middle,Boys,Standard,69.94695615,31.16425132,0,Found 0 Middle schools within 6.0km,,,
GGPS MUHAMMAD AZEEM MAGSI,JAFER ABAD,Primary,Middle,Girls,Standard,68.39949103,28.50367718,12,Found 12 Middle schools within 6.0km,GBMIDS MUHAMMAD AZEEM MAGSI,0.23,JAFER ABAD
GBPS BASTI NALA (KILLI M BAKHSH),SIBI,Primary,Middle,Boys,Standard,67.99823652,29.00916113,0,Found 0 Middle schools within 6.0km,,,
GBPS HUMAYUN JOGEZAI,KILLA SAIFULLAH,Primary,Middle,Boys,Standard,68.27397001,30.72450105,3,Found 3 Middle schools within 6.0km,GGMIDS KILLI SARDAR ROZI,1.44,KILLA SAIFULLAH
GGCMPS NEW KAHAN QUETTA,QUETTA,Middle,High,Girls,Standard,66.92969667,30.08962833,21,Found 21 High schools within 6.0km,GBHS CHILTAN RAISANI SARIAB,1.33,QUETTA
GGMIDS KILLI MENGAL ABAD LIZO,KHUZDAR,Middle,High,Girls,Standard,66.62017358,27.80081517,9,Found 9 High schools within 6.0km,GGHS KHATAN,0.58,KHUZDAR
GBPS ADIL ABAD,SHERANI,Primary,Middle,Boys,Standard,69.85060784,31.50962621,5,Found 5 Middle schools within 6.0km,GBMIDS SORE LAKAI BAIK,1.39,SHERANI
GGPS HAJI MUHAMMAD RASOOL,CHAMAN,Primary,Middle,Girls,Standard,66.51395692,30.94016664,7,Found 7 Middle schools within 6.0km,GBMIDS MUHAMMAD MIR ANZARGI KARAIZ,2.9,CHAMAN
GGPS SAAT MARLA,KHUZDAR,Primary,Middle,Girls,Standard,66.63804167,27.80395167,13,Found 13 Middle schools within 6.0km,GGMIDS LATIF ABAD KHATTAN,0.43,KHUZDAR
GBPS ALI BAKHSH SASOLI,NASEER ABAD,Primary,Middle,Boys,Standard,68.33636368,28.52335761,5,Found 5 Middle schools within 6.0km,GBMIDS ABDUL RAZAQUE UMARANI.,2.66,NASEER ABAD
GBPS BAZI GEER KHUZDAR,KHUZDAR,Primary,Middle,Boys,Standard,66.60348392,27.83728026,12,Found 12 Middle schools within 6.0km,GGMIDSS BAZGIR,0.17,KHUZDAR
GBPS KAKA ZAI,PISHIN,Primary,Middle,Boys,Standard,66.903525,30.74236167,15,Found 15 Middle schools within 6.0km,GBMIDS HAJIAN SHAKERZAI,1.3,PISHIN
GBPS HUZOOR BAKHSH DOMKI,SOHBAT PUR,Primary,Middle,Boys,Standard,68.3727031,28.43001853,12,Found 12 Middle schools within 6.0km,GBMIDS HAJI ABDUL MAJEED KHOSA,1.76,SOHBAT PUR
GBPS GORGAGE JADEED,NOSHKI,Primary,Middle,Boys,Standard,65.80022,29.24933667,3,Found 3 Middle schools within 6.0km,GBMIDS SAR MAL,1.84,NOSHKI
GBPS MUHAMMAD HASHIM,NOSHKI,Primary,Middle,Boys,Standard,65.50721111,29.07603521,1,Found 1 Middle schools within 6.0km,GGMIDS MUHAMMAD HASHIM,0.17,NOSHKI
GGMIDS CHILTAN SCHEME,QUETTA,Middle,High,Girls,Standard,66.97194387,30.25855934,76,Found 76 High schools within 6.0km,GGHS KILLI GUL MUHAMMED,1.32,QUETTA
"GBMIDS KILLI JAMALHAN, JANAT ALI",KOHLU,Middle,High,Boys,Standard,69.18812547,29.34416953,0,Found 0 High schools within 6.0km,,,
GBMIDS GOTH RAZA MUHAMMAD LEHRI FAROOQABAD DMJ,NASEER ABAD,Middle,High,Boys,Standard,68.28521304,28.4421974,8,Found 8 High schools within 6.0km,GBHS SHAFI MUHAMMAD UMRANI,1.71,NASEER ABAD
GBPS MADRASSA HARAM ZAI,SHERANI,Primary,Middle,Boys,Standard,69.68958661,31.50498523,4,Found 4 Middle schools within 6.0km,GBMIDS KILLI NEIKAN,1.72,SHERANI
GGMIDS NAIK MOHD. MARDANZAI SH: KILLI (LATE) HAJI NAIK MOHD,LORALAI,Middle,High,Girls,Standard,68.60934783,30.38219522,12,Found 12 High schools within 6.0km,GGHS PAHARHI MUHALLAH,0.64,LORALAI
GBPS MADRASSA MATEE-UL-ALOOM JHANGAIR SH,DUKI,Primary,Middle,Boys,Standard,68.84429083,30.06236524,1,Found 1 Middle schools within 6.0km,GGMIDS  SHADI KHAN  JAHANGEER SHER,0.26,DUKI
GBPS GHULAM QADAR MARI,NASEER ABAD,Primary,Middle,Boys,Standard,68.02568253,28.43217001,9,Found 9 Middle schools within 6.0km,GGMIDS MITHA KHAN MANJHO,1.39,NASEER ABAD
GBPS DILWANI,HARNAI,Primary,Middle,Boys,Standard,67.39410773,30.17965727,0,Found 0 Middle schools within 6.0km,,,
GBPS RONJAN MASHKEY,AWARAN,Primary,Middle,Boys,Standard,65.74405415,27.43461023,1,Found 1 Middle schools within 6.0km,GBMIDS RONJAN NO 1,2.18,AWARAN
GBPS DOCTOR ABDUL SADIQ,KILLA ABDULLAH,Primary,Middle,Boys,Standard,66.72709036,30.68645544,11,Found 11 Middle schools within 6.0km,GBMIDS SAZO PIR ALI ZAI,1.19,KILLA ABDULLAH
GBPS GOTH SHAHBAZ KHAN KATOR,JAFER ABAD,Primary,Middle,Boys,Standard,68.30922,28.35905167,15,Found 15 Middle schools within 6.0km,GBMIDS MOHIB ALI KHOSA,0.31,JAFER ABAD
GBPS HAJI LALA KHAN BADEZAI PASHTON ABAD,QUETTA,Primary,Middle,Boys,Standard,67.03360713,30.15776948,35,Found 35 Middle schools within 6.0km,GBMIDS NASAR ABAD QUETTA,1.13,QUETTA
GGPS Killi Hussain Abad,KHUZDAR,Primary,Middle,Girls,Standard,66.59502,27.88568833,13,Found 13 Middle schools within 6.0km,GGMIDSS BAZGIR,2.51,KHUZDAR
GGPS New Mitho,JHAL MAGSI,Primary,Middle,Girls,Standard,67.50531757,27.97253667,2,Found 2 Middle schools within 6.0km,GGMIDS KEHNA KHICHI,0.84,JHAL MAGSI
GBPS MADRASSA DARUL TOHEED MAGSI SHAKH TAMBOO,NASEER ABAD,Primary,Middle,Boys,Standard,67.89856082,28.40004967,2,Found 2 Middle schools within 6.0km,GBMIDS MOLVI LEHRI,2.67,NASEER ABAD
GBPS KILLI SHADI KHAN SIRKI TALARI,CHAMAN,Primary,Middle,Boys,Standard,66.46649269,30.93634462,12,Found 12 Middle schools within 6.0km,GBMIDS KILLI ABDUL REHMAN,0.24,CHAMAN
GBPS HAJI FATEH MUHAMMAD GULDAR BAGHECHA,CHAMAN,Primary,Middle,Boys,Standard,66.42321773,30.93906457,11,Found 11 Middle schools within 6.0km,GBMIDS KILLI ROZI KHAN,0.92,CHAMAN
GBPS GOTH DOST MOHAMMAD PANDRANI,NASEER ABAD,Primary,Middle,Boys,Standard,68.19494594,28.63178311,13,Found 13 Middle schools within 6.0km,GGMIDS ABDUL REHMAN HIJWANI,3.77,NASEER ABAD
GGPS SABAWOON POWER HOUSE ROAD CHAMAN,CHAMAN,Primary,Middle,Girls,Standard,66.44977895,30.9230803,14,Found 14 Middle schools within 6.0km,GBMIDS MADRASSA TADREES UL QURAN,0.3,CHAMAN
GBPS ABDUL RASOOL BUGTI,NASEER ABAD,Primary,Middle,Boys,Standard,68.2112851,28.5436375,16,Found 16 Middle schools within 6.0km,GGMIDS NOTAL,0.19,NASEER ABAD
GGMIDS RAKHNI CITY NEAR WAPDA GRADE STATION,BARKHAN,Middle,High,Girls,Standard,69.92429515,30.05111111,1,Found 1 High schools within 6.0km,GGHS GADAI RAKHNI,1.19,BARKHAN
GPS DIN MUHAMMAD MASTOI,JAFER ABAD,Primary,Middle,Co-Education,Standard,68.08366547,28.27396357,9,Found 9 Middle schools within 6.0km,GGMIDS NOOR MUHAMMAD NAWARH,1.32,JAFER ABAD
GPS GOTH RAHO BAZINJO,LASBELA,Primary,Middle,Co-Education,Standard,66.91052751,25.12917548,8,Found 8 Middle schools within 6.0km,GGMIDS HAJI IBRAHIM SHEIKH,3.94,LASBELA
GPS  KHARSHING,ZIARAT,Primary,Middle,Girls,Standard,68.48126559,30.24306748,2,Found 2 Middle schools within 6.0km,GGMIDS BAGAWO,1.55,ZIARAT
GBPS RANGPUR BULAIDI TEHISL TAMBOO,NASEER ABAD,Primary,Middle,Boys,Standard,68.09047435,28.37561431,14,Found 14 Middle schools within 6.0km,GBMIDS WADERA SHAKAR KHAN,1.73,NASEER ABAD
GGMIDS KIAZAI FEROZABAD,KHUZDAR,Middle,High,Girls,Standard,66.54213951,27.77509133,1,Found 1 High schools within 6.0km,GBHS GUNGO FEROZABAD,2.57,KHUZDAR
GGMIDS CHAD SHER ALI,SURAB,Middle,High,Girls,Standard,66.11935196,28.32368472,1,Found 1 High schools within 6.0km,GGHS HATHYARI GIDDAR,2.24,SURAB